"과목 및 유형",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"과목 및 유형",평  균 (%),300만원 미만 (%),- 200만원 미만 (%),- 200 ~300만원 미만 (%),300 ~400만원 미만 (%),400 ~500만원 미만 (%),500 ~600만원 미만 (%),600 ~700만원 미만 (%),- 700 ~ 800만원 미만 (%),- 800만원 이상 (%)
"대상분포(%)",100.0,11.9,3.9,8.0,12.5,15.8,16.8,12.1,9.4,21.5
"사교육 참여",78.5,57.2,49.8,60.7,70.3,76.8,80.6,85.1,85.8,87.9
"과목: 일반교과 사교육",62.9,38.2,30.5,41.9,51.9,60.1,64.6,69.6,71.3,76.5
"국어",25.6,15.7,12.7,17.2,22.7,24.2,24.9,27.2,28.4,32.2
"영어",51.5,27.3,21.1,30.3,39.8,48.9,52.6,58.1,60.4,65.2
"수학",52.5,30.9,24.4,34.0,43.0,49.4,53.7,57.7,59.5,65.4
"사회, 과학",14.2,7.4,5.3,8.4,11.6,12.9,13.9,15.0,16.1,19.2
"논술",10.2,2.8,1.7,3.3,5.6,8.4,9.8,11.4,13.1,16.7
"제2외국어, 한문, 컴퓨터 등",5.9,3.1,2.2,3.5,4.5,5.2,5.6,5.8,6.8,8.6
"컴퓨터",2.3,1.7,1.6,1.7,1.9,1.9,1.9,2.3,2.7,3.1
"제2외국어, 한문 등",3.9,1.6,0.9,1.9,2.9,3.7,4.0,3.8,4.6,5.7
"과목: 예체능,취미,교양 사교육",46.4,33.3,30.3,34.7,41.7,45.8,46.7,50.4,51.0,52.2
"음악",17.7,9.4,8.0,10.1,14.3,16.6,17.9,20.8,20.9,21.8
"미술",10.8,5.8,4.7,6.4,8.1,10.0,10.7,13.0,12.4,14.0
"체육",30.0,20.3,19.9,20.5,26.2,28.4,29.7,32.9,34.4,35.6
"취미·교양",5.6,4.7,3.8,5.1,5.4,5.5,5.7,5.9,6.8,5.4
"과목: 취업관련 사교육",0.5,0.7,0.8,0.7,0.5,0.5,0.5,0.3,0.4,0.4
"과목: 진로·진학 학습상담",2.6,1.9,2.8,1.4,1.8,2.3,2.2,2.6,2.7,4.0
"유형: 일반교과 사교육",62.9,38.2,30.5,41.9,51.9,60.1,64.6,69.6,71.3,76.5
"개인과외",8.9,3.6,3.4,3.7,4.8,6.4,8.0,8.9,10.9,16.0
"그룹과외",7.4,3.5,2.6,4.0,4.9,6.2,7.7,9.3,8.8,9.9
"학원수강",48.4,24.9,18.4,28.1,35.6,44.1,49.9,54.9,57.4,63.5
"방문학습지",9.7,5.5,4.7,5.9,9.1,9.3,9.5,10.6,10.7,11.9
"유료인터넷 및 통신강좌 등",11.6,7.7,5.7,8.7,10.2,11.6,11.6,12.4,13.3,13.2
"유형: 예체능,취미,교양 사교육",46.4,33.3,30.3,34.7,41.7,45.8,46.7,50.4,51.0,52.2
"개인과외",4.5,2.3,2.0,2.5,2.4,3.2,4.0,3.9,5.3,8.2
"그룹과외",3.2,2.1,1.6,2.3,2.4,2.6,3.0,3.5,3.3,4.9
"학원수강",39.1,26.2,23.4,27.6,35.3,39.1,39.8,43.1,44.6,43.4
"방문수업 및 기타",4.7,5.1,5.4,5.0,5.0,4.8,4.6,5.5,4.9,4.0
